News,sentiment,label
"gold edges up as stocks retreat, oil struggles",1,positive
forward gold sales suggest fears prices may fall,0,negative
Gold slips as Ukraine crisis abates on soothing Putin comments,0,negative
gold sheds 3% for october but still underpinned by election jitters,0,negative
"gold, silver extend losses on global cues",0,negative
dhanteras has a silver lining: high cost of gold makes silver people's favourite this year,1,positive
Gold edges lower as dollar holds firm,0,negative
"August gold up 0.3% at $1,224.90/oz.",1,positive
"gold futures down $2.80 at $1,055.80 an ounce",0,negative
"gold, silver rally on renewed fears of inflation",1,positive
"gold, silver slip over 0.50%, prices to stay range bound",0,negative
gold to trade in 29422-29722 range: achiievers equities,,neutral
gold futures fall as much as $17 in morning trading,0,negative
"Gold ends slightly higher North Korea threat, but posts weekly decline",1,positive
Gold prices gain in Asia with support from Ukraine tensions,1,positive
Gold prices settle lower ahead of Fed Beige Book release,0,negative
august gold down $12.10 to $921.50 an ounce on nymex,0,negative
Gold futures settle with a loss of 1.5% for the week,0,negative
"August gold off 1.6% at $1,255.60/oz.",0,negative
"Gold slips to Rs 32,000; silver reclaims Rs 41K-mark",0,negative
"amex gold bugs index ends at 2-mo low of 218.6, down 3%",0,negative
Gold futures settle at lowest level since late July,0,negative
Gold steady as Fed caution on global economy pressures dollar,,neutral
"Gold slips as US rate rise hopes, easing global tensions weigh",0,negative
"Hecla Mining estimates Q2 gold price $1,235/oz-$1,265/oz; gold futures up 0.2% at $1,249.60/oz",1,positive
gold prices edge higher in asia as market eyes greece debt talks,1,positive
"Gold futures drop $4.90, or 0.4%, to $1,285.10 an ounce",0,negative
"Gold trades $6.40, or 0.6%, lower at $1,166/oz. after consumer-sentiment survey",0,negative
Gold settles lower for a third session ahead of the Fed policy update,0,negative
gold may lose its sheen in 2018; here's why,0,negative
"gold tumbles on weak futures trend, firm rupee",0,negative
amex gold bugs index falls 2.2% to close at 237.49,0,negative
Gold extends rally as dollar steadies,1,positive
Gold prices finish lower for a third session in a row,0,negative
"gold futures, metals indexes fall back",0,negative
Gold adds to early gain after Empire State,1,positive
"aug. gold up $4, or 0.3%, to settle at $1,177.60/oz on comex",1,positive
gold futures edge higher in early dealings,1,positive
gold holds ground at two-week high,1,positive
Gold notches highest finish in more than 3 months,1,positive
"gold, silver gain amid north korea concerns",1,positive
gold rises 1% on renewed safe-haven buying,1,positive
"Gold rises to Rs 30,770; silver reclaims Rs 46,000 mark",1,positive
"bullionvault : 'politics driving' gold spike but 'glass half full' stock rebound sinks price $15, gld shrinks",0,negative
"june gold ends at $1,423.70/oz, up $14.90, or 1.1%",1,positive
gold closes lower as dollar rises,0,negative
"gold futures down $4.90 at $1,788.70 an ounce",0,negative
gold extends slide to close lower a second day,0,negative
Gold prices edge up as easing trade concerns hurt dollar,1,positive
"gold continues to slide on weak demand, silver gains",0,negative
gold rates gain in major metros in india,1,positive
Gold pares loss after GDP reading,0,negative
Gold edges up on steady demand; Fed rate hike speculation weighs,1,positive
"August gold settles at $1,242.30/oz, down $3.50, or 0.3%, for the session",0,negative
"gold futures add to gains, up $6.30 at $1,060.3/oz",1,positive
"gold futures settle higher, under $1,720",1,positive
"silver falls to rs 51850 on heavy sell-off, gold down by rs 270",0,negative
dollar : surging dollar and sinking gold weighing on investors' minds,0,negative
gold prices could soar if donald trump says any one of these five things,1,positive
"gold futures hit fresh peak of rs 29,186 on global cues",1,positive
gold dips on firm dollar amid hopes for easing u.s.-n.korea tensions,0,negative
"gold settles at 1-week high of $1,200 as trump comments hurt the dollar",1,positive
Gold soars to highest since March 2014 amid flight to safety,1,positive
Gold ends higher as global stock markets pull back,1,positive
feb. gold retreats from a one-month high as dollar gains,1,positive
iran's gold demand set for spurt before trump sanctions bite,1,positive
august gold ends up $8.70 at $659.0 an ounce on nymex,1,positive
"gold could hit record highs above $1,600: gfms",1,positive
"more upside seen in gold prices, every dip could be opportunity to go long in silver",1,positive
"Gold holds gain after economic reports on sales, inflation",1,positive
mcx goldpetal february contract gains,1,positive
gold gains $15 to end at three-month high,1,positive
Gold hovers near 1-year high on safe haven demand,,neutral
"Gold hits one-week high on dollar weakness, geopolitical tensions",1,positive
"gold prices, company shares gain",1,positive
Gold prices turn lower amid profit-taking,0,negative
"gold climbs by rs 250, silver firms up",1,positive
Gold climbs Rs 130 on festive demand,1,positive
gold at fresh 18-year high on inflation worries,1,positive
gold off over $30 as commodities pressure builds,0,negative
"june gold slips $2.10, or 0.2%, to settle at $1,209.80/oz",0,negative
"August gold down $3.20, or 0.3%, to settle at $1,243.50/oz",0,negative
gold settles at highest level in more than 5 weeks,1,positive
"gold slips from record highs on weak demand, global cues",0,negative
Gold futures mark highest finish in about 2 months,1,positive
"Dec. gold settles at $1,278.90/oz, up $4.70, or 0.4%",1,positive
"Gold softens to Rs 32,285; silver down by Rs 100 per kg",0,negative
Gold prices to trade lower: Angel Commodities,0,negative
gold futures end lower; lose over $42 on the week,0,negative
"Commodity Outlook: Gold shrugs off US rate hike, eyes Rs 30,700",0,negative
gold futures close near $900 as oil prices surge,1,positive
feb gold climbs $8.90 to $531.60/oz after $534.30 high,1,positive
"Gold gains amid N. Korea tensions, but heads for 2nd weekly decline",1,positive
"Gold rebounds to Rs 32,250 on global cues, festive season buying",1,positive
Gold futures rally to 7-week high on delayed Fed rate hike outlook,1,positive
Gold ends lower as dollar rallies after ECB decision,0,negative
gold rates trading firm in major metros in india,1,positive
gold rises on day but notches worst month since december,1,positive
"Gold prices recover from 3-week lows, gains checked",1,positive
"gold futures hold steady, eyes on u.s. data",,neutral
"stocks slide on borrowing cost fears, gold jumps",1,positive
"gold extends losses; silver dips below rs 41,000-mark",0,negative
"gold dips on firming u.s. factory data, boj stimulus",0,negative
"Gold hits over 1-month high of Rs 29,250",1,positive
Gold benefits; other commodities and equity markets collapse,1,positive
"gold futures continue lower, but off the session's low",0,negative
Gold falls to lowest settlement in more than 2 weeks,0,negative
gold futures move up after earlier weakness,1,positive
"gold edges lower, but holds above $670",0,negative
"Gold down modestly, but holds above $1,300 on Iraq turmoil",0,negative
"philadelphia gold/silver index closes at 140.44, down 1.5%",0,negative
"spot gold bid at $414.20 an ounce, up $2.10 - kitco",1,positive
"Gold gets a boost from weaker dollar, holds gains after Fed minutes",1,positive
"gold fails to hold above key $1,300 level, posts daily, weekly losses",0,negative
Gold prices end lower after back-to-back gains,0,negative
"dollar decline lifts gold futures, shares",1,positive
Gold no longer holds glitter for investors,0,negative
Gold holds firm gain after solid jobless-claims report,1,positive
"Gold dips on stronger dollar, growth outlook",0,negative
"gold set for worst may in 30 years, markets edge up",0,negative
gold logs highest close in 3 months,1,positive
"gold, silver rise as euro gained after macron win in france",1,positive
Gold holds sharp gain after data,1,positive
Gold futures settle at a nearly three-week high,1,positive
"Gold futures fall to Rs 29,779 per 10 gm",0,negative
gold edges lower ahead of bank of england rate decision,0,negative
Gold futures mark first quarterly loss of the year,0,negative
"Gold lower ahead of Comex settlement, reversing from earlier gains",0,negative
"June gold down 0.2% at $1,254/oz.",0,negative
gold futures rally on weaker dollar,1,positive
gold futures fall to near a two-week low,0,negative
"cboe gold index taps high of 96.14, highest since 1997",1,positive
"gold jumps 0.3% from settlement price after fed minutes to $1,237.40 an ounce",1,positive
mcx goldpetal november contract slips,0,negative
june gold up $1.70 at $679.70/oz in last half hr of ny trade,1,positive
gold futures weaken on profit-booking,0,negative
"Gold logs biggest one-day loss of the month, but holds above $1,200",0,negative
"gold eases, silver slumps",0,negative
"gold, silver up on safe-haven demand",1,positive
Gold logs second straight gain as U.S. ISM data disappoint,1,positive
"April gold settles at $1,202.60/oz, down 50 cents, or less than 0.1%",0,negative
Gold shines ahead of US jobs data; poised for weekly gain,1,positive
gold futures close at a two-week high,1,positive
"gold futures fall on global cues, poor demand",0,negative
Gold holds steady as Sept Fed rate hike views cool; equities rise,1,positive
"Dec. gold down $4.70, or 0.4%, at $1,325.70/oz",0,negative
SPDR Gold Trust surges 2.2% in premarket trade,1,positive
"dec. gold down on profit taking, posts weekly loss",0,negative
gold futures slide rs 265 on weak global cues,0,negative
"gold firm above &#36;1,200 as lower equities stoke safe-haven bids",0,negative
"gold futures down rs 124 on profit booking, global cues",0,negative
"gold drops to lowest in nearly 7 weeks; stronger dollar, equities drag",0,negative
"june gold ends down $5.90, or 0.6%, at $908.20",0,negative
"gold extends gains, up $23.30 to $1,258.70, as dollar sinks on swiss move",1,positive
"gold gains on local buying, global cues",1,positive
gold futures down $2.80 at $870.70 an ounce,0,negative
gold slightly lower as rising stocks reduce safety buying,0,negative
december gold down $3.20 at $714.70 an ounce on nymex,0,negative
"June gold drops $11, or 0.9%, to settle at $1,216.10/oz",0,negative
gold continues to decline on lower global cues,0,negative
Gold takes back some lost ground after Fed meeting minutes,0,negative
"August gold falls $5.30, or 0.4%, to settle at $1,270.10/oz",0,negative
"gold trades under $1,800 as u.s. equities rise",1,positive
gold futures stumble 3.6% to end at $887.80 an ounce,0,negative
Gold futures rise 0.27% on global cues,1,positive
"gold falls over $11, pressured by dollar gains",0,negative
"gold rises by rs 175 on increased demand, firm global cues",1,positive
gold treads lower ahead of fed minutes,0,negative
"april gold ends up $2.60, or 0.3%, at $884.80 an ounce",1,positive
Gold holds strong gains after Empire State report,1,positive
"spot gold quoted at $427, up $1.20 from new york",1,positive
"Gold ends near 3-month low, suffers 1.8% weekly loss",0,negative
"August gold down $13.70, or 1.1%, to settle at $1,279.50/oz",0,negative
"Gold hits 2-week high on dollar's weakness, trade worries",1,positive
"stocks cheer a benign july; gold, dollar suffer",0,negative
Gold slumps on selling spree ahead of Fed QE meet,0,negative
gold ends lower for first time in three sessions,0,negative
february gold ends up $17.80 at $826.60 an ounce on nymex,1,positive
gold adds to gain after weekly jobless-claims report,1,positive
april gold last down $3.30 at $648.70/oz after $647 low,0,negative
gold futures close lower ahead of fed decision,0,negative
"gold near $456, highest since june `88",1,positive
"gold futures at fresh, 15-year high",1,positive
gold futures climb over $5 to a six-month high,1,positive
"crude, gold futures reverse course to trade higher",1,positive
"gold falls, extending thursday's decline",0,negative
"December gold rises less than 0.1% at $1,329.50/oz.",1,positive
japan : 'semi-organized' crime groups tied to rise in gold smuggling,1,positive
gold futures retreat somewhat after private-sector employment report,0,negative
"gold, silver encounter profit-taking, global cues",1,positive
gold futures post modest gains to end two-session skid,1,positive
"Weak global cues pull gold futures down to Rs 28,384",0,negative
"dec gold closes at $469.50/oz, up $2.30 after $462.30 low",1,positive
gold inches up on weaker dollar; improved risk appetite weighs,1,positive
"gold, silver prices tumble to lowest since late 2010",0,negative
"February gold up $9.50, or 0.8%, at $1,174.80/oz. after ADP report",1,positive
India gold falls by 1.5%on global leads,0,negative
"gold turns lower, trades under $1,370 an ounce",0,negative
Gold ticks lower; Trump's speech in focus,0,negative
"Gold futures plunge to Rs 33,786 per 10 gm",0,negative
gold logs three-session win with oil at record high,1,positive
"comex gold up 0.2% on day, up 0.3% on week",1,positive
strong wage growth friday could send gold lower,0,negative
gold futures down by rs 39 profit booking,0,negative
"gold prices, metals indexes lower in afternoon trade",0,negative
"rupee rises on lower oil prices, gold slips",0,negative
gold stocks broadly higher,1,positive
"gold futures gain, tap $1,445 mark",1,positive
Gold hovers near 6-month low,0,negative
"gold settles 2.1% higher at $1,829.80 an ounce",1,positive
gold prices hold onto gains ahead of fomc statement,1,positive
gold at highest in nearly seven months after fed,1,positive
Gold futures log highest settlement in about 5 weeks,1,positive
"Gold prices steady, eyes on US midterm elections",,neutral
ronald stoeferle : gold is dirt cheap right now,0,negative
gold futures up $8.50 at $596.80 an ounce,1,positive
spot gold quoted at $434.60 in asia trade,1,positive
"april gold settles at $1,201.50/oz, up $4.20, or 0.4%, on comex",1,positive
august gold drops $11 to close at a 1-wk low of $673.80/oz,0,negative
Gold marks 1-month high as dollar retreats,1,positive
"gold ends higher, then pulls back as fed beige book ups odds of june rate hike",1,positive
"Gold drops to Rs 30,700; silver down at Rs 41,200 per kg",0,negative
Gold prices trading lower in major metros,0,negative
Gold Prices Remain Lower on Stronger U.S. Dollar,0,negative
"gold up for second day on china data, weaker stock markets",1,positive
Gold settles higher for a third session,1,positive
gold futures end the week roughly 0.8% higher,1,positive
"Dec. gold climbs $6.40, or 0.5%, to settle at $1,281.70/oz",1,positive
"Gold, Silver may trade higher today: Angel Commodities",1,positive
gold inches up on weaker dollar; improved risk appetite weighs,1,positive
"Gold falls to Rs 30,450 on weak demand from local jewellers",0,negative
gold tops $453 to start busy week,1,positive
gold price could drive higher after dovish remarks from fed officials,1,positive
"Gold trades $4.50, or 0.4%, higher at $1,201.10/oz., after jobless claims, trade data",1,positive
Gold rises for 4th as dollar eases on weak US data,1,positive
"gold futures close 0.4% up at $1,374.10 an ounce",1,positive
gold futures tumble on weak global trend,0,negative
"gold settles 1.3% lower as dollar, equities climb",0,negative
"gold slides off record, ending lower at $1,335/oz",0,negative
"April gold gains $7.20, or 0.6%, to settle at $1,255.70/oz",1,positive
feb. gold ends up 1.2% at $847.20 an ounce,1,positive
"Gold hits over 14-month high of Rs 31,450",1,positive
Gold scores highest settlement in almost three months,1,positive
"gold down on session, but up on week",1,positive
Gold prices trade near session lows on Comex,0,negative
"gold futures up 0.31 pc on short-covering, weak rupee",1,positive
Gold dips to one-month low as dollar strengthens,0,negative
gold down a 7th straight session to end at lowest level since feb. 1,0,negative
gold pares losses after losing as much as $10,0,negative
"gold gains on u.s. data, argentina default, geopolitical concerns",1,positive
Gold slips as dollar gains before US Jobs data,0,negative
"December. gold down $11.70, or 0.9%, at $1,299.80 an ounce",0,negative
gold prices lose about 2% for the week,0,negative
gold futures close at the highest in five weeks,1,positive
"gold futures rally, carrying metals stocks higher",1,positive
gold futures down 0.9% for the week,0,negative
Gold prices up in Asia with focus on physical demand from India,1,positive
gold spikes to 9-month high,1,positive
"gold closes marginally lower at $1,338.60/oz",0,negative
Gold extends streak of price gains to a third session,1,positive
"Gold ends higher, then wavers in electronic trade after FOMC decision",1,positive
Gold prices move up today,1,positive
"feb. gold ends at $1,660.60/oz, down $17.40 on day",0,negative
Gold futures log highest finish since May 3,1,positive
"amex gold bugs index closes at 243.08, up 2.4%",1,positive
"february gold slips 0.3% at $1,318.30/oz.",0,negative
"Dec. gold climbs 90 cents, or less than 0.1%, to settle at $1,351.20/oz",1,positive
"April gold up 0.1% at $1,241/oz.",1,positive
"gold near 2-week high on dollar, us gdp data",1,positive
Gold post soft declines as geopolitical jitters subside,0,negative
gold futures settle higher for first time in four sessions,1,positive
Could gold fall to $850 an ounce if Trump made America great again?,0,negative
"spot gold quoted at $399.70, up $1.80 from new york",1,positive
"April gold up $30.50, or 2.5%, at $1,231.20/oz.",1,positive
"August gold gains $7, or 0.6%, to settle at $1,256.40/oz",1,positive
gold futures close near a one-month high,1,positive
platinum a hit with youngsters as price difference with gold drops,0,negative
Gold holds losses after durable-goods orders,0,negative
feb gold falls $2.20 to $424.70/oz in morning ny trade,0,negative
Gold futures seesaw between losses and gains as Fed's Yellen speaks,1,positive
gold slides to 3-month low as dollar soars after yellen comments,0,negative
Gold prices gain in Asia on physical demand from India,1,positive
Gold slips on tapering safe-haven demand as Deutsche Bank woes ease,0,negative
gold sales fail to pick up even in wedding season,1,positive
"gold settles at two-week high on euro, egypt",1,positive
"commerzbank : investors buy gold, silver etf as price retreats",0,negative
"Dec. gold gains $6.80, or 0.5%, to settle at $1,277.30/oz",1,positive
Gold holds ground at two-week high,1,positive
"gold trying to get above $1,355 as uncertainties on russian sanctions linger on",1,positive
gold nears $430 as dollar falls,0,negative
"Gold rallies on weaker dollar, Japan ratings cut",1,positive
Gold prices rebound 1% after falling to 4-month lows,1,positive
silver climbs to 1983 levels; gold dulls,1,positive
"December gold trades up $3.50, or 0.3%, at $1,225.50/oz.",1,positive
dec. gold falls $2.20 to $619.50 in morning trading,0,negative
Gold futures log lowest finish since April 12,0,negative
Gold Prices Remain Slightly Lower in Risk-On Trade,0,negative
freeport-mcmoran copper & gold q1 eps 33c vs loss 3c,0,negative
"FTSE 100 ends lower as drug firms, gold miners fade after Trump-rally",0,negative
gold futures down five weeks in a row,0,negative
mcx goldm september contract rises,1,positive
gold gains 2.4% on the week,1,positive
august gold up $5.20 to $928.50 an ounce on nymex,1,positive
Gold slips on weak demand; silver too slumps,0,negative
"spot gold bid at $392.10 an ounce, up $1.50",1,positive
Gold prices give up earlier gains to settle modestly lower,0,negative
gold extends climb to multiweek highs as dollar index sinks,1,positive
gold futures gain steam after ism data,1,positive
Spot Gold trades higher,1,positive
"August gold rises 0.2% at $1,263/oz.",1,positive
"Gold futures fall to Rs 30,952",0,negative
"aug. gold down $2, or 0.2%, to end at $1,244./oz",0,negative
gold slammed after someone pukes $4 billion notional in gold futures,0,negative
philadelphia gold & silver index falls 2.6%,0,negative
"dec gold ends up 0.5% on wk, up 5.9% on month",1,positive
"gold trades under $1,700, loses 4%",0,negative
"newscast: stocks march in place; gold, oil slide",0,negative
"Dec. gold climbs $2.40, or 0.2%, to $1,326.10/oz",1,positive
MCX gold stuck in a sideways range,,neutral
"gold futures rise amid safe-haven demand, dollar weakness",1,positive
Gold futures settle at a nearly 5-week low,0,negative
"feb. gold gains $10.30, or 0.9%, to settle at $1,162/oz",1,positive
Gold prices pare some of their earlier gains,1,positive
"gold, silver tumble from record level on scrap sale",0,negative
"Gold, Silver may trade with positive bias:Angel Commodities",1,positive
gold futures down on weak global cues; subdued domestic demand,0,negative
"gold slips further below &#36;1,200 as fund outflows resume",0,negative
"gold futures head lower, but trades higher for the week",0,negative
Gold remains in a narrow range ahead of Fed minutes,,neutral
gold down as inflation fear subsides; silver tanks,0,negative
"gold prices steady to weaker in asia as investors eye china, india",0,negative
MCX GOLDGUINEA Jan contract trades higher,1,positive
"gold, silver trade lower ahead of us jobs data",0,negative
december gold down $4.30 at $788.30 an ounce on nymex,0,negative
"Feb. gold down 80 cents, or less than 0.1%, to settle at $1,212.10/oz",0,negative
gold to trade in 28822-29380 range: achiievers equities,,neutral
"dec. gold falls $33.70, or 1.9%, $1,781/oz",0,negative
gold ends higher as crude oil prices jump,1,positive
Gold jumps to 8-1/2 month peak on US rate hike outlook,1,positive
"amex gold bugs index ends at 193.13, down 0.5%",0,negative
gold ends higher for the first time in four sessions,1,positive
"gold falls to fresh five-year low as china, fed rate hike weigh",0,negative
India gold prices jump 6% to highest in nearly 3 years,1,positive
"Gold suffers back-to-back losses, sees knee-jerk reaction to Fed minutes",0,negative
gold futures down $11.90 at $814.70 an ounce,0,negative
gold steady near record high; physical buying dull,1,positive
"gold, rupee, crude give equities company in trip down bear st",0,negative
gold futures end at lowest level in six weeks,0,negative
aug gold falls $2.40 to $424.70/oz in morning trade,0,negative
"gold inches higher but remains below $1,200-level",1,positive
"Dec. gold settles at $1,208.70/oz, down $8.20, or 0.7%",0,negative
"gold slips to lowest in nearly 2 weeks, us inflation data in focus",0,negative
Gold futures decline Rs 116 on profit-booking,0,negative
"Gold futures up at Rs 31,104 per 10 gm",1,positive
gold futures end the month nearly $12 lower,0,negative
gold futures end 2003 up nearly 20%,1,positive
Gold falls in electronic trade after Fed Beige Book release,0,negative
gold futures drop rs 72 on weak global cues; silver weakens in futures trade,0,negative
gold holds gain after economic reports,1,positive
gold prices to move lower towards 29600 levels: choice equity,0,negative
"Gold futures down at Rs 30,028 per 10 gm",0,negative
"gold recovers on renewed demand, silver drops",1,positive
gold slightly lower as u.s. redrafts nafta,0,negative
"gold pares loss, inches closer to $1,600 an ounce",0,negative
"gold ends higher, but retreats from 5-month high as dollar strengthens",1,positive
will december fed rate hike drive gold higher or lower?,0,negative
"Gold settles up $4.80, or 0.4%, at $1,253.30 an ounce",1,positive
gold settles higher after string of weekly declines,1,positive
"Gold settles higher, books weekly, quarterly advance but ends March in the red",1,positive
Gold ends at a nearly three-month low as dollar index strengthens,0,negative
Gold under threat from rising dollar,0,negative
rupee ends flat; sharp rise in gold,,neutral
"Gold pares gains, but still marks 6-week high",1,positive
"gold rate today: gold, silver trade lower on weak demand",0,negative
"April gold settles at $1,236.10/oz, up $4, or 0.3%",1,positive
"Commodity Outlook: Crude oil trades higher on MCX; gold, silver in the red",1,positive
sharps pixley: gold on a tear as dollar weakens - silver being left behind,1,positive
"gold, silver end sharply lower on stronger dollar",0,negative
"gold prices close under $474, down nearly $3",0,negative
gold bug howard ruff hangs up his spikes,1,positive
"gold drops rs 180 on low demand, global cues",0,negative
"Gold Prices Up As China Central bank Pumps Up Liquidity, Prices Data Stable",1,positive
"gold prices slip in futures trade, fall rs 199 on global cues",0,negative
"August gold climbs $10.10, or 0.8%, to settle at $1,280.20/oz",1,positive
gold off the lows after u.s. cpi data,0,negative
"gold down on weak global cues, low demand",0,negative
"aug. gold down $10.30 on day to settle at $1,320.60/oz",0,negative
"gold futures climb to a close above $1,600",1,positive
"nyse decliners littered with gold, energy",1,positive
gold ends lower after touching intraday record,0,negative
gold will keep trading in the range of 22200-22800: biren vakil,,neutral
"Dec. gold gains $14, or 1.1%, to settle at $1,311.50/oz",1,positive
"silver recovers on speculative off-take, gold ends lacklustre",0,negative
"Feb. gold settle at $1,276.70/oz, down $9.50, or 0.7%",0,negative
"gold declines, silver rises sharply",1,positive
"Gold, silver rise in futures trade",1,positive
Gold steady; investors await cues from Fed,,neutral
"gold rises on firm global cues, festive season buying",1,positive
spot gold quoted at $437.20 in asia trade,1,positive
"Gold prices steady after, retail sales, economic reports",,neutral
"dec. gold up $43, or 5.1%, at $893.50/oz on globex",1,positive
dec. gold finishes the week 2.8% higher,1,positive
feb gold tops $423/oz in late morning trade,1,positive
"February gold up 50 cents, or less than 0.1%, at $1,212.50/oz.",1,positive
"gold settles at a one-week high, holds gains in electronic trade after fed beige book",1,positive
"december gold rises 0.2% at $1,222.80/oz.",1,positive
Gold futures log back-to-back weekly losses,0,negative
"Gold futures rise to Rs 29,500 per 10 gm",1,positive
gold ends under $450; copper sinks,0,negative
gold falls as dollar rises after senate approves plan,0,negative
"december gold finishes off $10.30, or 0.8%, at $1,215/oz.",0,negative
gold prices rise on global cues; silver loses lustre,1,positive
"Dec. gold loses $9.50, or 0.7%, to end at $1,280.50/oz for the session",0,negative
mcx goldguinea september contract trades lower,0,negative
MCX gold reverses from key support,0,negative
Gold climbs on Chinese buying but strong dollar could keep gains in check,1,positive
"august gold climbs $3.90, or 0.6%, to $663.80/oz in ny",1,positive
"gold futures log highest finish since feb. 16, up 2.9% on week",1,positive
Gold prices finish lower as dollar strengthens,0,negative
"gold, silver edge higher in morning trade",1,positive
"gold, silver up on safe-haven demand",1,positive
"december gold up $11.20 at $1,294.60 an ounce",1,positive
gold premiums hit another peak on scarce supplies,1,positive
gold settles lower alongside other metals,0,negative
cboe gold index up 5.4% to close at 133.74,1,positive
Gold Prices Still Under Pressure on Stronger Dollar,0,negative
"Gold hits two-week low as US yields approach 3%, lifting dollar",0,negative
"Gold futures up at Rs 27,509 per 10 gm",1,positive
Gold futures lose about 3.3% for the week,0,negative
"gold futures top $1,187/oz heading into close",1,positive
gold sales shoots up phenomenally in this festive season,1,positive
"feb gold taps $540.10/oz, nears 25-yr high of $543 from dec",1,positive
"gold closes 2.2% lower at $1,338.40 an ounce",0,negative
friday's loss for gold pulls the metal down for the quarter,0,negative
palladium price hits record high and gets within $10 of gold,1,positive
"gold up 0.6% to $1,181.30 an ounce",1,positive
barrick gold profit jumps; sees rising production costs,1,positive
"gold, silver edge higher as dollar takes step back",1,positive
gold inches down on higher u.s. treasury yields,0,negative
credit suisse sees gold prices trending up in long term,1,positive
gold futures drop 2% on fed taper worries,0,negative
feb. gold falls $1.50 to $605.40/oz after $611.10 high,0,negative
gold cuts gain at close as investors show caution,1,positive
Gold holds early losses after data,0,negative
Gold edges lower as Ukraine remains in spotlight,0,negative
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",1,positive
mcx goldguinea october contract trades lower,0,negative
Sovereign gold bonds start trading; surge over 7%,1,positive
gold turns up; investors weigh safe-haven appeal,1,positive
"december gold down $12.50 to $1,758.20 an ounce",0,negative
"Gold flat, dollar up on higher US yields",,neutral
august gold up 40 cents at $656.30/oz in morning trading,1,positive
gold stays in the green near $1330 as wall street slides,,neutral
Gold prices lose about 1.9% for the week,0,negative
gold prices fall for first time in three days,0,negative
jan. gold moves up on globex after earlier losses,1,positive
"Gold futures fall 0.07% on weak global cues, profit-booking",0,negative
Gold prices snap 3-session winning streak,0,negative
How the 'charged' air around Yellen could send gold miners higher,1,positive
"gold, silver rise ahead of yellen testimony",1,positive
Gold inches down as dollar firms; US Fed in focus,0,negative
Gold futures mark lowest finish since early February,0,negative
"gold dips on day, but up 1%+ for the week on fed hike worries",1,positive
"gold futures, metals stocks climb amid dollar weakness",1,positive
"gold hits 1-month low on dollar, economic worries",0,negative
august gold down $9.10 to $930 an ounce on globex,0,negative
"June gold climbs $3.90, or 0.3%, to settle at $1,278.10/oz",1,positive
"Gold futures down at Rs 31,340 per 10 gm",0,negative
"Gold ends at September low, down nearly 2% for the week",0,negative
"gold gains on european bank fears, fed expectations",1,positive
"gold falls third-straight day, ends at 3-week low",0,negative
"gold, silver futures continue lower in afternoon trading",0,negative
"Gold tops $1,300, closes at 11-month high",1,positive
Gold prices to trade lower: Angel Commodities,0,negative
gold futures down $1.70 at $1.545.50 an ounce,0,negative
Gold Prices Remain Lower as Dollar Strengthens,0,negative
gold steady as dollar gains amid us rate hike expectations,1,positive
Gold prices end the week nearly 1.8% higher,1,positive
"gold settles 2.1% higher at $1,829.80 an ounce",1,positive
"crude, gold off highs after u.s. sentiment data",0,negative
"gold declines further, silver recovers",0,negative
"gold, silver rebound ahead of u.s. retail sales data, yellen testimony",1,positive
scrap gold pulls down prices,0,negative
Gold rises to 8-week high as traders focus on Trump and Brexit,1,positive
"Gold ends lower as tax-cut progress lifts U.S. dollar, stocks",0,negative
"upside target for gold at &#36;1,450-1,475/oz: jonathan barratt",1,positive
"gold jewellery sales sparkle on dhanteras, up 30%",1,positive
"gold trades higher; may witness pullback till rs 29,800",1,positive
gold trades higher in morning trade; silver down,0,negative
mcx gold may fall to rs 28750-28550: sharekhan,0,negative
"gold back above $1,300/oz after jobs fall short",1,positive
Gold extends losses; silver rebounds by Rs 400 per kg,0,negative
Gold futures end the week with a gain of about 1.9%,1,positive
"Profit-taking pulls gold futures down to Rs 29,091",0,negative
"gold to touch above &#36;3,500/ounce by 2015: swiss asia",1,positive
"gold settles down $4.50, or 0.4%, to $1,173.50 an ounce",0,negative
"As gold prices hit the roof, buyers sell coins for cash",1,positive
"Gold, silver recover on stockists' buying",1,positive
gold futures drop as much as $13 an ounce in morning trade,0,negative
"august gold climbs $7, or 0.5%, to settle at $1,308.30/oz",1,positive
"feb. gold settles at $626.90, up $13 on day, up $20 for week",1,positive
"gold prices end lower, but finish higher on the week",0,negative
Gold prices mark first gain in four sessions,1,positive
spot gold prices slip in major metros in india,0,negative
"Gold futures climb to Rs 25,050 per 10 gm",1,positive
gold ends lower for second day as traders look to fed speakers for cues,0,negative
"April gold settles at $1,255.60/oz, down 10 cents for the session",0,negative
gold breaks through $600 an ounce as oil price firms,1,positive
"june gold settles at $1,340.10/oz, up $4, or 0.3%",1,positive
Gold prices to trade sideways Angel Commodities,,neutral
"Dec. gold jumps $17.40, or 1.3%, to settle at $1,315.30/oz",1,positive
"gold near five-week lows, trapped by stronger dollar",0,negative
gold rises first day in three as dollar weakens,1,positive
"dec. gold ends the week up $21.10/oz, or 2.9%",1,positive
"Gold edges higher but remains below $1,300 in range bound trade",1,positive
"titan to raise watch prices as gold, strong dollar bite",0,negative
"india : gold price rally, cash crunch dulls akshaya tritiya festival buying",1,positive
Gold prices turn higher as the U.S. dollar weakens,1,positive
Gold futures may fall further,0,negative
